#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
133,Senegal,"88,910",,"1,971                                ",,"86,938",,1,,"5,036",112,"1,146,543","64,946","17,653,671 ",Africa,,"1998,95715",,,0.06,
134,Malawi,"88,640",,"2,686                                ",,"85,455",,499,67,"4,392",133,"624,784","30,959","20,180,839 ",Africa,,"2287,51332",,,25,
135,Ivory Coast,"88,091",,834                                ,,"87,210",,47,,"3,175",30,"1,675,700","60,402","27,742,298 ",Africa,,"31533,26417",,,2,
136,Suriname,"82,227",,"1,400                                ",,N/A,N/A,N/A,,"137,773","2,346","240,907","403,644","596,831 ",South America,,74262,,,"52,112",
137,New Caledonia,"79,845",,314                                ,,"79,526",,5,9,"274,462","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,17,
138,French Polynesia,"77,957",,649                                ,,N/A,N/A,N/A,7,"274,338","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"154,164",
139,Eswatini,"74,158",,"1,423                                ",,"72,716",,19,,"62,590","1,201","1,048,704","885,119","1,184,817 ",Africa,,168331,,,16,
140,Guyana,"73,052",,"1,298                                ",,"71,707",,47,,"92,000","1,635","720,088","906,860","794,045 ",South America,,116121,,,59,
141,Belize,"70,721",,688                                ,,"70,011",,22,6,"171,574","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,53,
142,Fiji,"68,876",,883                                ,,"66,831",,"1,162",,"75,732",971,"668,445","734,986","909,466 ",Australia/Oceania,,"131,0301",,,"1,278",
143,Madagascar,"67,849",,"1,421                                ",,"66,423",,5,,"2,325",49,"524,869","17,988","29,178,077 ",Africa,,"43020,53356",,,0.2,
144,Sudan,"63,775",,"5,011                                ",,"58,364",,400,,"1,387",109,"562,941","12,240","45,992,020 ",Africa,,"7219,17882",,,9,
145,Mauritania,"63,667",,997                                ,,"62,439",,231,,"12,988",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,47,
146,Cabo Verde,"63,237",,413                                ,,"62,767",,57,23,"111,396",728,"401,622","707,482","567,678 ",Africa,,"91,3751",,,100,
147,Bhutan,"62,611",,21                                ,,"61,564",,"1,026",,"79,462",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,302",
148,Syria,"57,461",,"3,164                                ",,"54,297",,0,,"2,967",163,"146,269","7,553","19,364,809 ",Asia,,"3376,120132",,,,
149,Burundi,"53,609",,38                                ,,"53,569",,2,,"4,246",3,"345,742","27,386","12,624,840 ",Africa,,"235332,23337",,,0.2,
150,Seychelles,"50,665",,172                                ,,"50,440",,53,,"509,575","1,730",,,"99,426 ",Africa,,2578,,,533,
151,Gabon,"48,981",,306                                ,,"48,674",,1,,"21,008",131,"1,621,909","695,641","2,331,533 ",Africa,,"487,6191",,,0.4,
152,Andorra,"47,866",,165                                ,,"47,563",,138,14,"617,921","2,130","249,838","3,225,256","77,463 ",Europe,,24690,,,"1,781",
153,Papua New Guinea,"46,792",,670                                ,,"43,982",,"2,140",7,"5,036",72,"249,149","26,813","9,292,169 ",Australia/Oceania,,"19913,86937",,,230,
154,Curaçao,"45,986",,295                                ,,"44,720",,971,3,"277,812","1,782","496,693","3,000,640","165,529 ",North America,,45610,,,"5,866",
155,Aruba,"44,026",,236                                ,,"42,438",,"1,352",2,"409,129","2,193","177,885","1,653,068","107,609 ",North America,,24561,,,"12,564",
156,Tanzania,"42,775",,846                                ,,N/A,N/A,N/A,7,676,13,,,"63,298,550 ",Africa,,"1,48074,821",,,660,
157,Mayotte,"42,004",,188                                ,,N/A,N/A,N/A,,"146,734",657,"176,919","618,038","286,259 ",Africa,,"71,5232",,,"135,723",
158,Mauritius,"41,677",,"1,043                                ",,"39,977",,657,,"32,695",818,"358,675","281,374","1,274,727 ",Africa,,"311,2224",,,515,
159,Togo,"39,364",,290                                ,,"39,070",,4,,"4,535",33,"807,631","93,036","8,680,837 ",Africa,,"22129,93411",,,0.5,
160,Guinea,"38,267",,467                                ,,"37,757",,43,8,"2,760",34,"660,107","47,607","13,865,691 ",Africa,,"36229,69121",,,3,
161,Isle of Man,"38,008",,116                                ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,,27391,,,"129,450",
162,Bahamas,"37,491",,833                                ,,"36,366",,292,1,"93,607","2,080","257,839","643,767","400,516 ",North America,,114812,,,729,
